date,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북,합계 : 계
2021-02,"1,241,414","10,006,968","2,886,744","2,210,142","1,156,124","2,058,230","1,157,250","2,391,446","5,428,166","311,272","977,622","2,854,176","1,639,210","1,454,146","1,038,686","1,768,314","1,353,644","39,933,554"
2021-03,"1,245,116","10,032,194","2,896,454","2,218,384","1,157,718","2,060,678","1,157,948","2,396,476","5,430,906","313,100","979,138","2,855,428","1,651,836","1,457,722","1,047,592","1,774,914","1,357,818","40,033,422"
2021-04,"1,245,908","10,064,342","2,903,684","2,220,946","1,157,852","2,055,462","1,160,226","2,402,756","5,434,370","314,192","979,648","2,849,282","1,673,040","1,457,584","1,056,440","1,778,172","1,365,006","40,118,910"
2021-05,"1,248,626","10,093,860","2,909,028","2,223,736","1,158,470","2,052,502","1,158,026","2,411,420","5,439,202","315,338","979,448","2,850,508","1,681,762","1,457,858","1,064,242","1,780,750","1,368,610","40,193,386"
2021-06,"1,252,180","10,130,846","2,916,818","2,227,256","1,160,416","2,055,366","1,158,682","2,419,716","5,444,924","316,598","980,302","2,855,512","1,692,784","1,460,630","1,073,574","1,785,550","1,372,844","40,303,998"
2021-07,"1,255,876","10,166,228","2,929,002","2,231,614","1,162,082","2,039,682","1,161,158","2,426,696","5,463,460","318,214","981,386","2,854,574","1,702,248","1,463,180","1,082,570","1,791,030","1,385,278","40,414,278"
2021-08,"1,258,110","10,199,688","2,932,344","2,233,962","1,164,226","2,041,276","1,162,838","2,432,480","5,464,990","319,160","981,584","2,854,226","1,707,566","1,464,724","1,087,604","1,793,772","1,387,934","40,486,484"
2021-09,"1,261,250","10,226,232","2,937,008","2,236,330","1,166,620","2,041,336","1,164,682","2,433,398","5,473,336","320,468","982,170","2,842,340","1,727,078","1,465,626","1,092,792","1,797,054","1,390,254","40,557,974"
2021-10,"1,264,988","10,251,402","2,943,178","2,239,770","1,168,234","2,041,940","1,166,078","2,438,592","5,473,092","322,534","983,178","2,841,964","1,734,338","1,467,432","1,098,186","1,801,368","1,392,706","40,628,980"
2021-11,"1,268,398","10,281,466","2,950,264","2,244,550","1,170,354","2,042,844","1,168,140","2,445,612","5,479,958","324,056","985,038","2,847,568","1,741,058","1,470,030","1,105,102","1,805,954","1,395,612","40,726,004"
2021-12,"1,270,796","10,312,594","2,956,810","2,247,252","1,172,592","2,044,562","1,169,346","2,453,966","5,480,088","326,700","986,234","2,854,562","1,756,704","1,470,722","1,110,754","1,809,654","1,397,960","40,821,296"
2022-01,"1,274,716","10,343,634","2,964,828","2,252,212","1,175,578","2,047,886","1,171,384","2,461,168","5,483,694","329,642","988,072","2,863,624","1,761,376","1,473,544","1,116,908","1,814,718","1,401,040","40,924,024"
2022-02,"1,277,308","10,361,882","2,970,560","2,255,504","1,176,432","2,049,472","1,172,708","2,468,580","5,487,240","331,596","989,190","2,870,330","1,767,276","1,475,398","1,121,554","1,818,938","1,404,004","40,997,972"
2022-03,"1,280,828","10,392,418","2,980,060","2,260,412","1,179,510","2,052,842","1,175,476","2,475,498","5,490,538","333,002","989,778","2,879,766","1,771,570","1,478,696","1,127,282","1,824,672","1,408,234","41,100,582"
2022-04,"1,283,842","10,423,912","2,988,540","2,264,018","1,180,694","2,056,512","1,179,052","2,482,208","5,495,440","334,424","990,196","2,885,142","1,783,012","1,480,744","1,134,622","1,828,990","1,411,634","41,202,982"
2022-05,"1,286,742","10,450,752","2,998,504","2,266,002","1,182,304","2,058,638","1,181,762","2,489,724","5,501,294","335,810","991,068","2,893,532","1,789,980","1,482,010","1,140,858","1,833,234","1,414,744","41,296,958"
2022-06,"1,289,974","10,476,626","3,008,424","2,268,430","1,184,464","2,062,306","1,183,686","2,497,144","5,506,586","337,078","992,264","2,900,368","1,798,466","1,484,856","1,143,570","1,838,236","1,417,658","41,390,136"
2022-07,"1,293,766","10,503,406","3,022,128","2,273,226","1,187,126","2,067,742","1,187,420","2,501,310","5,512,478","338,386","992,606","2,909,614","1,808,758","1,487,364","1,149,184","1,844,560","1,422,110","41,501,184"
2022-08,"1,297,088","10,514,204","3,030,638","2,276,550","1,188,948","2,070,668","1,189,340","2,504,050","5,512,744","339,116","992,782","2,914,336","1,814,052","1,489,270","1,153,702","1,848,390","1,425,126","41,561,004"
2022-09,"1,300,738","10,542,364","3,036,292","2,272,250","1,191,336","2,072,800","1,191,656","2,508,898","5,516,700","339,982","993,604","2,914,240","1,821,354","1,491,570","1,156,468","1,853,224","1,428,376","41,631,852"
2022-10,"1,303,612","10,563,730","3,044,886","2,276,706","1,193,104","2,075,362","1,193,234","2,515,542","5,517,824","340,926","994,894","2,895,242","1,856,458","1,493,684","1,159,956","1,857,754","1,431,230","41,714,144"
2022-11,"1,307,466","10,594,180","3,062,078","2,282,548","1,195,836","2,079,980","1,196,016","2,521,340","5,523,402","342,262","996,686","2,887,080","1,874,422","1,497,048","1,163,984","1,864,548","1,434,896","41,823,772"
2022-12,"1,310,488","10,623,892","3,079,332","2,286,992","1,197,758","2,081,936","1,198,082","2,525,242","5,527,460","343,272","997,426","2,885,952","1,876,350","1,499,982","1,164,662","1,869,192","1,437,500","41,905,518"
2023-01,"1,314,136","10,649,672","3,086,892","2,294,050","1,199,342","2,085,438","1,200,866","2,529,716","5,531,564","344,852","1,000,486","2,892,460","1,878,642","1,503,852","1,167,740","1,876,306","1,442,746","41,998,760"
2023-02,"1,317,116","10,665,146","3,093,622","2,300,098","1,200,486","2,086,848","1,202,538","2,535,026","5,529,482","346,276","1,002,830","2,895,968","1,880,916","1,506,520","1,170,652","1,883,256","1,447,158","42,063,938"
2023-03,"1,321,350","10,695,136","3,098,278","2,305,926","1,203,882","2,087,764","1,203,906","2,540,262","5,536,628","347,498","1,005,240","2,899,196","1,882,882","1,510,476","1,172,764","1,890,448","1,451,612","42,153,248"
2023-04,"1,323,044","10,724,932","3,102,854","2,310,316","1,204,918","2,089,760","1,205,700","2,546,212","5,538,620","348,280","1,007,614","2,907,018","1,882,888","1,512,714","1,175,270","1,895,526","1,454,236","42,229,902"
2023-05,"1,325,414","10,746,136","3,114,240","2,313,094","1,205,198","2,090,472","1,207,490","2,550,086","5,538,080","348,652","1,009,176","2,909,206","1,889,618","1,513,428","1,177,210","1,899,358","1,457,856","42,294,714"
2023-06,"1,328,102","10,778,650","3,128,214","2,316,182","1,206,918","2,094,706","1,211,964","2,555,520","5,543,330","349,478","1,011,338","2,926,004","1,885,144","1,515,642","1,177,108","1,904,584","1,460,178","42,393,062"
2023-07,"1,330,248","10,797,974","3,137,950","2,299,974","1,208,426","2,115,520","1,215,734","2,560,012","5,545,424","349,864","1,012,240","2,945,162","1,874,932","1,518,022","1,180,148","1,908,706","1,462,310","42,462,646"
2023-08,"1,331,524","10,809,078","3,141,860","2,301,760","1,209,234","2,116,618","1,216,560","2,563,422","5,544,184","349,838","1,013,074","2,946,856","1,875,730","1,518,462","1,180,810","1,911,994","1,464,364","42,495,368"
2023-09,"1,333,906","10,832,896","3,146,670","2,304,596","1,211,730","2,120,122","1,219,600","2,569,382","5,549,370","350,370","1,014,246","2,952,218","1,880,094","1,520,656","1,184,546","1,916,616","1,467,652","42,574,670"
2023-10,"1,334,988","10,851,610","3,154,652","2,305,626","1,212,988","2,120,706","1,221,864","2,574,266","5,550,230","350,812","1,015,376","2,952,608","1,883,344","1,521,636","1,186,306","1,920,450","1,468,126","42,625,588"
2023-11,"1,337,042","10,888,372","3,166,166","2,309,258","1,215,704","2,124,676","1,227,050","2,580,014","5,551,404","351,232","1,017,406","2,950,878","1,889,254","1,524,836","1,187,340","1,925,852","1,471,258","42,717,742"
2023-12,"1,338,464","10,906,908","3,171,204","2,311,360","1,217,012","2,127,116","1,230,506","2,584,658","5,552,232","351,684","1,018,202","2,958,900","1,894,932","1,526,312","1,188,278","1,929,586","1,473,050","42,780,404"
2024-01,"1,340,972","10,931,740","3,177,572","2,316,356","1,219,446","2,129,310","1,235,298","2,589,198","5,553,484","352,678","1,020,640","2,963,066","1,898,416","1,529,572","1,188,378","1,936,490","1,476,466","42,859,082"
2024-02,"1,343,026","10,945,398","3,184,654","2,320,390","1,220,650","2,129,746","1,237,106","2,591,960","5,552,648","353,614","1,022,048","2,966,382","1,901,410","1,531,862","1,187,880","1,941,586","1,478,316","42,908,676"
2024-03,"1,344,734","10,970,312","3,193,326","2,325,784","1,223,122","2,130,064","1,239,742","2,597,680","5,550,772","354,688","1,023,182","2,971,340","1,905,198","1,534,358","1,190,288","1,948,316","1,481,868","42,984,774"
2024-04,"1,346,100","10,987,176","3,196,990","2,328,534","1,223,250","2,128,670","1,241,788","2,603,696","5,550,108","354,862","1,024,554","2,974,996","1,910,518","1,534,912","1,194,306","1,953,482","1,484,242","43,038,184"
2024-05,"1,347,828","11,007,274","3,201,448","2,331,346","1,224,794","2,128,912","1,244,586","2,610,504","5,551,342","355,412","1,025,914","2,982,662","1,914,966","1,536,300","1,194,306","1,957,998","1,485,734","43,101,326"
2024-06,"1,349,914","11,031,970","3,209,046","2,334,992","1,226,844","2,132,270","1,248,764","2,617,644","5,554,842","356,120","1,027,292","2,985,880","1,918,058","1,538,276","1,197,576","1,961,838","1,488,218","43,179,544"
